Course,Title,Distribution Group,Analyzing Diversity,Credits,Description
ARTS 225,BEGINNING DRAWING,Distribution Group I,,3,"This course introduces students to the basic techniques, materials and processes of drawing. Students will explore line, tone, space, form, composition, and content through a variety of drawing assignments in dry and wet media. Students learn how to draw from direct observation. No previous drawing experience is required."
ARTS 230,COMICS AND SEQUENTIAL ART,Distribution Group I,,3,"An introduction to the art of combining words and pictures: diverse applications such as storyboarding for stage and screen, comic books and graphic novels, and serial or multiples in a variety of media all fall under the umbrella of Sequential Art. Through instruction, demos, readings and practice, students will learn the history and implementation of linear visual narratives utilizing the Comics Art Teaching and Study Workshop as a resource. Students in this class will also participate in the construction and establishment of a permanent research center for the study of Comic Book Art within the Department of Visual and Dramatic Arts. This course has limited enrollment. The roster is formatted on the first day class by the instructor, who may allow additional registration for majors. It is necessary to attend the first class meeting to confirm your place on the class roster."
ARTS 235,COLOR,Distribution Group I,,3,"This course will explore color, perception and composition. Color as a phenomenon is one of the most powerful elements in art. It is full of complexities that this course will aim to expose through a series of short and long exercises, assignments, comprehensive lectures, and museum visits."
ARTS 280,HISTORY & AESTHETICS OF FILM,Distribution Group I,,4,"Introduction to the art and aesthetics of film as an artifact produced within certain social contexts. Includes style, narrative, mise-en-scene, editing, sound, and ideology in classical Hollywood cinema, as well as in independent, alternative, nonfiction, and Third World cinemas."
ARTS 301,BEGINNING PAINTING,Distribution Group I,,3,"This course introduces students to the basic language, tools, and materials of painting. Students will learn painting techniques and concepts, starting with painting from observation and ending with more student-directed projects. Lectures and filed trips will explore painting through an art historical context as well as a contemporary one."
ARTS 311,BEGINNING PRINTMAKING,Distribution Group I,,3,"This course will give an introduction to prints and printmaking through the study of original works on paper and the opportunity to produce printed works of art. Works will include etchings, lithograph, linocut, and monoprints. Enrollment is limited. The instructor will formulate the course roster and may allow additional majors and under classmen to enroll."
ARTS 327,DOCUMENTARY PRODUCTION,Distribution Group I,,3,Study of the expressive possibilities of documentary production using digital systems. Space in studio classes is limited. Registration does not guarantee a place in class. The class roster is formulated on the first day of class by the individual instructor.
ARTS 328,FILMMAKING I,Distribution Group I,,3,Dramatic film production class that requires the making of one digital video and one 16mm film. Space in studio classes is limited. Registration does not guarantee a place in class. The class roster is formulated on the first day of class by the individual instructor.
ARTS 432,FILM GENRE: THE WESTERN,Distribution Group I,,3,"Survey of the essential American film experience spanning all the years of U.S. cinema, with emphasis on the western and its mythic function in society. Space in studio classes is limited. Registration does not guarantee a place in class. The class roster is formulated on the first day of class by the individual instructor."
ASIA 201,NONVIOLENCE: RELIGIOUS/SECULAR,Distribution Group I,,3,"The doctrine of nonviolence affirms that humanity is more united than conflicted. This is not true for just South Asian traditions. The course examines Mahatma Gandhi’s nonviolence in light of three world traditions: Hinduism, Jainism, and Christianity. Along with theory, the course delves into the application of nonviolent principles. Distribution 1 credit effective Fall 2021."
ASIA 205,EAST ASIAN FOOD HISTORY,Distribution Group I,Analyzing Diversity Course,3,"This subject introduces students to the traditional dietary cultures of China, Japan, and Korea as seen from perspectives of geography, climate, material and social technologies, religion, philosophy, economics, and politics. Topics include hunter-gathering, farming, pastoral, and industrial foodways, state formation and empire, ritual significance of hunting and food sacrifice, trade and foreign relations, traditional medicine, gift-giving and hosting, tourism, and “soft power.” We will examine such practices as banquet etiquette, seasonal celebrations, tea ceremony, courtesan/entertainment culture, and traditional processing methods, like fermentation, stir fry, and distillation. Mutually exclusive with FWIS 155. Students cannot receive credit for ASIA 205 if they have previously taken FWIS 155."
ASIA 210,JAPANESE POP CULTURE,Distribution Group I,Analyzing Diversity Course,3,"Examines Japanese popular culture from transnational critical approach that consider ethnicity, race, gender, and class, demonstrating where East Asian cultures, languages, and histories overlap and shape popular cultural production and consumption. Using multiple methods of inquiry this course will equip students to explore how they participate in and converse with Japanese popular cultural texts in the global community of consumers. Materials include film, television, literature, music, manga, animation, tourism, and more, as examples of Japanese culture’s Soft Power. This course counts towards the electives requirement for the ASIA major."
ASIA 213,TRANSNATIONAL ART AND CULTURE,Distribution Group I,,3,"This introductory course to art and culture in Asia explores transnational connections and exchanges before the twentieth century. Major topics include the Silk Road, Buddhist grottoes, maritime trade routes and shipwrecks, cosmopolis and urban lives, court art, literati culture, ink painting, gardens, the Mongol Empire, Jesuit influence, and East-West connections."
ASIA 214,E ASIAN ART CULTURAL HERITAGE,Distribution Group I,,3,"This course introduces the art and premodern monuments designated as world cultural heritage sites in East Asia. Through a study of paintings, calligraphy, architecture, and issues related to cultural preservation, students will gain a multi-cultural perspective on the world’s past and develop analytical skills to better appreciate world cultural heritage."
ASIA 215,KOREAN WAVE,Distribution Group I,,3,"In the wake of twenty-first century Korean Wave became a global phenomenon overnight. Its popularity first started in Asian continent, notably in Japan, China, followed by Southeastern Asian countries, then South Asia, reaching Middle East and Europe, while reflecting the immigration route, it reached North America by a different route and medium. This course takes a close look at transnational journey of Korea Wave, identifying the mechanism and material conditions of transition from the Cold War fundamentalism to global capitalism. Exploring K-pop, K-drama, K-cinema, K-Webtoons, and K-beauty in close comparisons to concepts such as power, community, aesthetics, race, gender, and sexuality, the course invites students to critically examine the transnational phenomenon of Korean wave in Asia and beyond."
ASIA 216,A HISTORY OF MEDICINE IN CHINA,Distribution Group I,,3,"What defines a legitimate doctor, and what qualifies as medicine? This course examines the history of medicine in China, focusing on patient-practitioner relationships and drug culture. We will discuss both learned practices, such as herbal medicine and acupuncture, and more unconventional aspects, like quackery and ritual healing. Beyond standard pharmaceutical objects, we will also investigate the roles of food, poisons, and incense in Chinese drug culture. This course aims to broaden your understanding of “medicine” by presenting it in a broader cultural context and exploring how various elements have shaped historical and contemporary practices."
ASIA 218,EAST/NORTHEAST ASIA FILM HIST,Distribution Group I,,3,"Can we learn history by analyzing movies? Using documentary and feature films from Asian film culture's beginnings, we view 19th-20th century Chinese, Japanese, and Korean history. Collective in-class film viewing, discussion and reading required."
ASIA 219,MODERN JAPAN,Distribution Group I,Analyzing Diversity Course,3,"This course will examine the modern history of Japan, roughly 1600 to the present. Through readings, discussion, exams and a research activity, students will engage with modern Japanese history, including warrior culture, engagement with the west, modernization and industrialization, empire, the role of women, democracy and popular protest, war, occupation, and economic growth."
ASIA 220,SCIENCE IN CHINA,Distribution Group I,,3,"What does science and technology mean in a Chinese context? This course provides a historical survey of science and technology studies in China, spanning from the thirteenth to the twentieth century. Positioning China within a global order, we will delve into questions such as: Was there a unique “Chinese” way of studying Nature? How did science, technology, and empire intersect in early modern and modern Chinese history? How did non-Chinese scientists and engineers contribute to China’s knowledge of the world? Throughout the semester, we will explore the worlds of Confucian scientists as well as Muslim geographers, Jesuit engineers, Manchu anatomies, and Chinese barefoot doctors. We will also examine a variety of subjects, including the global circulation of scientific knowledge, technology in empire-building, and the epistemic encounters between the West and China."
ASIA 221,LIFE OF PROPHET MUHAMMAD,Distribution Group I,,3,"This course will examine the life of the Prophet Muhammad, focusing on its significance for Muslims and for non-Muslims. Readings in The Qur'an, Ibn Hisham, and Haykal."
ASIA 222,WORLD AND SOUTH ASIA,Distribution Group I,Analyzing Diversity Course,3,"Introduction to important 20th and 21st-century writers in English from South Asia - the region that includes India, Pakistan, Bangladesh and Sri Lanka. Readings include award-winning and bestselling works (fiction and non-fiction) by writers who address a wide range of issues including national and cultural identity, colonialism, sexuality, religion, globalization and political violence."
ASIA 223,SOUTH ASIAN STUDIES,Distribution Group I,Analyzing Diversity Course,3,"Multi-disciplinary introduction to South Asia (India, Pakistan, Afghanistan, Bangladesh and Sri Lanka). Grounded in historical context, we examine the region’s geography, politics, art and architecture, literary epics and poetry, religions and devotional practices, and cultural interactions and exchanges, from pre-history through the 20th century."
ASIA 224,A HISTORY OF THE SILK ROADS,Distribution Group I,,3,"Course explores Inner Asian trade routes as both source and conduit for cultural encounters and transfers among Chinese, Greek, Persian, Arab, Turkic, and Mongol peoples, among others, 500 BCE-1600 CE. Focusing on the material and cultural exchange, religion, nomadic migration, state building that shaped the human and geopolitical landscape."
ASIA 229,MODERN EAST ASIA,Distribution Group I,,3,"This course helps students understand East Asia countries in the past few centuries through a variety of perspectives, such as historical, social and cultural. It moves beyond national and regional boundaries and places the relationship between East Asia and the world at the center of inquiry."
ASIA 232,RELIGIONS FROM INDIA,Distribution Group I,,3,"This course surveys religions that originated in India and have spread globally, especially Hinduism, Buddhism, Jainism, and Sikhism. Examining important practices, texts, and artworks, we investigate topics such as devotion, liberation, ritual, sacred space, identity, diversity, and historical change from ancient South Asia to contemporary America and the world."
ASIA 233,LAW AND SOCIETY IN ASIA,Distribution Group I,,3,"This class examines Confucian law and Islamic law in transnational and historical perspectives. We will learn about the defining characteristics of both legal systems, follow their nineteenth- and twentieth-century transformations, and evaluate their place in today’s world."
ASIA 236,BUDDHISM AND SCIENCE,Distribution Group I,,3,"Modern science has found many connections to ancient Buddhist traditions, but Buddhism has always portrayed itself as rational and explanatory, developing cosmology, biology, and physics in concert with meditation, ritual, and art. This course explores connections between Buddhism and science from their earliest beginnings up to the present day."
ASIA 237,JAPANESE POETRY & PERFORMANCE,Distribution Group I,,3,"This course introduces students to traditional verse forms and performing arts of Japan with a focus on their multimodal and cognitive characteristics. We will learn the history and rules of poetic forms, like waka and haiku, and the techniques and methods of performance arts like Noh, singing storytelling, Kabuki, and puppet theater. We will learn how verbal, vocal, visual, and architectural arts, including calligraphy, painting, and stage design, shaped each other, and how the special characteristics of written and spoken languages of Japan (including Chinese written and quoted by Japanese authors), along with universal cognitive mechanisms, like prediction and memory, interacted and gave rise to unique and moving artistic manifestations. Readings/viewings will be in translation/subtitled, and no background in East Asian languages is required, but interested students may request help with locating and analyzing original-language material."
ASIA 242,CHINA’S FOREIGN RELATIONS,Distribution Group I,,3,"In this class, we will analyze China’s foreign relations from 1500 to 2000. By focusing on case studies of China’s foreign relations, we will learn how historians, international relations scholars, and political scientists have understood China’s foreign relations."
ASIA 243,PREMODERN CHINA,Distribution Group I,,3,"Drawing from interdisciplinary sources and methods (history, art history, literature, philosophy, religion, etc.), this course provides a historical survey on the formation and evolution of Chinese tradition to about 1800."
ASIA 244,KOREA AND EMPIRES,Distribution Group I,,3,"Nationalist historiography of Korea emphasizes Korea’s suffering at the hands of empires and the remarkable resilience of its people. Drawing from interdisciplinary scholarship, this course challenges that perspective and highlights Korea’s multifaceted interactions with the Mongol, Chinese, Japanese, Soviet, and American empires."
ASIA 255,MARTIAL ARTS FICTION AND FILM,Distribution Group I,,3,"This course introduces students to East Asian physical and martial cultures as practiced today and depicted in historical sources, literature, film, and other media. Topics include spirituality, ethics, physical fitness, gender, race, politics, economics, and multimedia depictions of premodern combat and practices like qìgōng, Shàolín kung fu, tàijí quán, kendō, karate, and more. Works of philosophy, history, literature, and film may include Sūnzǐ’s Art of War, Sīmǎ Qiān’s “Biographies of Assassins,” The Ballad of Mùlán, The Tale of the Heike, Outlaws of the Marsh, The Book of Five Rings, 47 Rōnin, Hagakure, and films by directors like Kurosawa, Lo Wei, Ang Lee, Zhāng Yìmóu, Níng Yíng, and Tarantino."
ASIA 260,ASIAN RELIGIOUS ENVIRONMENTS,Distribution Group I,Analyzing Diversity Course,3,"This course explores Asian religious concepts of space, place, and environment such as natural landscape, sacred boundary, built architecture, transnational connection, and ecological responsibility. Traditions addressed may include Buddhism, Hinduism, Jainism, Daoism, Shinto, and Shamanism. A comparative approach reveals both local specificity and enduring global relevance."
ASIA 282,TRANSNATIONAL ASIAN FOOD,Distribution Group I,,3,"Can food be both authentic and transnational at the same time? By looking into diverse Asian food items, their traditions, changing recipes and consumption, and the meanings attached to them in diaspora, this class invites students to inquire into the concepts of authenticity and diversity."
ASIA 295,INTRO TO TRANSNATIONAL ASIA,Distribution Group I,,3,"As a gateway course for the Asian Studies major, Introduction to Transnational Asia is designed to give students diverse perspectives of learning about Asia. The course combines lecture, historical and contemporary textual analysis, group study, mini research project, and presentation."
ASIA 301,THE JAIN WORLDVIEW,Distribution Group I,,3,"Beginning with Jainism’s roots in India, we will understand the rich and diverse beliefs and practices of Jainism and then reflect upon its transnational form. Students will further inquire into the dichotomy of tradition and modernity, preservation and transformation to argue how religions migrate, as a result of their adherents. Distribution 1 credit effective Fall 2021."
ASIA 302,ASIAN PHILOSOPHY IN CONTEXT,Distribution Group I,Analyzing Diversity Course,3,"This course explores key topics of philosophy, such as existence, the self, language, cognition, social values, and environmental ethics, in traditions such as Buddhism, Hinduism, Jainism, Daoism, and Confucianism. Emphasis is placed on how philosophy changes over time and is applied to diverse real-world agendas."
ASIA 322,INTRODUCTION TO BUDDHISM,Distribution Group I,Analyzing Diversity Course,3,"Buddhist ideas, art, and meditation. Exploration of the Buddhism in India, China, and Japan and their impact in the USA today. Readings include Buddhists classics and contemporary responses from mediators and scientists."
ASIA 323,BUDDHIST & DAOIST ART & RITUAL,Distribution Group I,,3,"This course examines key themes of art and ritual in Daoism and Buddhism. From southern Asia to China, commonalities and contrasts appear in cosmology, art, ritual, and soteriology. This team-taught course combines expertise in Daoist art, Chinese art history, and Buddhist traditions of India, Nepal, and Tibet. Distribution 1 credit effective Fall 2022."
ASIA 332,FILM & MODERN CHINESE LIT,Distribution Group I,,3,"Exploration of modern Chinese literature through the visual imagery of Chinese films to show how and why different time periods and different media affect the theme of a story. One third covers movie adaptations of classical Chinese literature. Films subtitled in English, shown outside of class. All readings in English translation."
ASIA 335,CLASSICAL CHINESE NOVELS,Distribution Group I,,3,"Examination of the basic characteristics of classical Chinese novels, primarily through six important works from the 16th to 18th centuries: Water Margin, Monkey, Golden Lotus, Scholars, Romance of the Three Kingdoms, and Dream of the Red Chamber. All readings in English translation."
ASIA 336,GENDER AND SOCIETY IN BUDDHISM,Distribution Group I,Analyzing Diversity Course,3,"Gender, class, and social role are crucial in Buddhism despite its philosophical denials of the importance of self. Examining great works of literature and art, this course addresses the lived experiences and historical perceptions of numerous different types of individuals in Buddhist history, especially emphasizing considerations of gender."
ASIA 337,S ASIAN RELIGIOUS LANDSCAPES,Distribution Group I,,3,"This course explores South Asian religions through topics of geography, landscape, and space, investigating concepts such as nationhood, architecture, pilgrimage, and diaspora. Broadly examining primary texts, ethnographies, and works of art, we discuss the experiences, practices, and histories of Hinduism, Jainism, and Buddhism across Asia and beyond. Distribution 1 credit effective Fall 2022. Graduate/Undergraduate Equivalency: ASIA 537."
ASIA 342,E ASIAN ORTHODOXIES & HERESIES,Distribution Group I,,3,"This course will investigate orthodoxies and heresies in East Asia (second century BCE-twentieth century). We will focus on the establishment of Confucianism as the state orthodoxy, the reinforcement of the orthodoxy by the legal codes and the civil service examinations, and the relationship between the state orthodoxy and various heresies."
